Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
lookup,3.1922905319674993e-4,3.190064645297482e-4,3.19459546776587e-4,7.767778365235926e-7,6.640824606907452e-7,9.158094829554914e-7
insert,2.557379045804988e-4,2.553349286044001e-4,2.56022324108637e-4,1.19719219236456e-6,9.020473620244276e-7,1.620543472887038e-6
insertWith empty,2.752698731884543e-4,2.749734729143615e-4,2.755270407057814e-4,9.415721058783736e-7,7.269588559568797e-7,1.2645737485827074e-6
insertWith update,1.227367659246162e-3,1.2255996584014843e-3,1.2287420693825395e-3,5.3796340628638985e-6,4.1855268670372e-6,7.131570492668073e-6
insertWith' empty,2.7979477284886865e-4,2.7943725564415016e-4,2.8008139654145874e-4,1.0558457308816734e-6,7.987927960082093e-7,1.411484343394687e-6
insertWith' update,1.0690141701465085e-3,1.0677158804495073e-3,1.0700156733734578e-3,3.832710171213319e-6,3.0262765994795753e-6,5.240036740622776e-6
insertWithKey empty,2.702833658074911e-4,2.6993952784502227e-4,2.7052866195535183e-4,9.603957752821788e-7,7.366458250030237e-7,1.2673841790657507e-6
insertWithKey update,1.2224001923205469e-3,1.220809911609124e-3,1.2239183570845588e-3,5.47471649275985e-6,4.327610330127276e-6,7.1404107418478946e-6
insertWithKey' empty,2.744999155803025e-4,2.7415280492723245e-4,2.7475762569999695e-4,9.68935208958728e-7,7.155191599151898e-7,1.3240351748034479e-6
insertWithKey' update,1.0663406943016548e-3,1.0649476225795204e-3,1.0673634320974474e-3,4.055084607548702e-6,3.333139592740542e-6,5.351394324196665e-6
insertLookupWithKey empty,1.0209236795553544e-3,1.0196037352265925e-3,1.0219873641810209e-3,4.156340036704204e-6,3.4634438675138675e-6,5.32081877843942e-6
insertLookupWithKey update,2.48071013389928e-3,2.47660101989276e-3,2.4837699009605573e-3,1.191614694674011e-5,9.206345731084338e-6,1.7373286347460095e-5
map,8.095882628663603e-5,8.089169240063403e-5,8.101667710557e-5,2.1748995181052326e-7,1.6943537370258057e-7,2.8713037641570275e-7
mapWithKey,9.076937938156745e-5,9.071995228634658e-5,9.082539064936046e-5,1.8964980932493103e-7,1.5785305387544353e-7,2.358831094063659e-7
foldlWithKey,9.49665504937778e-4,9.486667782389477e-4,9.507480304630837e-4,3.4620904444929257e-6,2.594922468407294e-6,4.9048731191528105e-6
foldlWithKey',2.3749650087999094e-5,2.362687781872297e-5,2.3918229689806827e-5,4.6707195503214163e-7,3.472873467696392e-7,5.664005700633638e-7
foldrWithKey,4.5972289681403866e-8,4.5924234936654476e-8,4.603193129921853e-8,1.7200597758041142e-10,1.313320241720295e-10,2.12235114602787e-10
delete,2.1571480368016603e-4,2.1567531805386715e-4,2.157520090928226e-4,1.3537147938777636e-7,1.1425564077334105e-7,1.675013759600045e-7
update,9.688316073395709e-4,9.677247720508909e-4,9.695494875737952e-4,3.086257520671571e-6,2.3559123889884885e-6,4.32392847225343e-6
updateLookupWithKey,1.6208211965414907e-3,1.6191793837494048e-3,1.6221881858505497e-3,4.870289313223681e-6,3.963940763836827e-6,6.331160340045088e-6
alter,9.8960184098526e-4,9.886471737020506e-4,9.90398618118135e-4,2.8456198971609888e-6,2.1650329341358605e-6,4.043574864708304e-6
mapMaybe,1.381194819974542e-4,1.3804128526463094e-4,1.381916248104089e-4,2.528105683538622e-7,1.9642824095383932e-7,3.3407943637632467e-7
mapMaybeWithKey,1.381560906438611e-4,1.380855406833981e-4,1.3821891963442515e-4,2.1994396783690006e-7,1.7412324206158666e-7,2.9166588239334136e-7
fromList,2.5411746834155336e-4,2.538170751217065e-4,2.543691658118659e-4,9.605917529550511e-7,7.062795976639253e-7,1.3343619873915898e-6
fromAscList,1.8281280047790108e-4,1.825594920440802e-4,1.831036508172651e-4,9.093571193564566e-7,7.765433274788929e-7,1.101666084215372e-6
fromDistinctAscList,1.0536967538710947e-4,1.053384506205379e-4,1.0540362053902344e-4,1.1373002732855655e-7,9.42610532536079e-8,1.4477921387183294e-7
minView,5.617066126915137e-8,5.6164832012164915e-8,5.617736172590343e-8,2.1985550654347363e-11,1.7678190358742783e-11,2.7576291547834448e-11
